sample_id,phase,split,action,category,n_picks,has_correct_pick,all_picks_correct,min_cal_conf,max_cal_conf,reason_codes
XO.LT07..HH.2018.05.12.20.49.55,P,main,FUSE,AUTO_FUSE,3,True,True,0.856,0.944,FUSE_CONSENSUS_CLUSTER
XO.LT07..HH.2018.05.12.20.49.55,S,main,FUSE,AUTO_FUSE,3,True,True,0.856,0.944,FUSE_CONSENSUS_CLUSTER
XO.LT06..HH.2018.05.12.20.49.48,P,main,FUSE,AUTO_FUSE,3,True,True,0.855,0.954,FUSE_CONSENSUS_CLUSTER
XO.LT06..HH.2018.05.12.20.49.48,S,main,FUSE,AUTO_FUSE,3,True,True,0.855,0.954,FUSE_CONSENSUS_CLUSTER
XO.LT07..HH.2018.05.13.11.47.49,S,main,FUSE,AUTO_FUSE,3,True,False,0.824,0.887,FUSE_CONSENSUS_CLUSTER
XO.LT14..HH.2018.05.13.16.49.13,P,main,FUSE,AUTO_FUSE,3,True,True,0.841,0.906,FUSE_CONSENSUS_CLUSTER
XO.LT14..HH.2018.05.13.18.48.42,P,main,FUSE,AUTO_FUSE,3,True,True,0.799,0.929,FUSE_CONSENSUS_CLUSTER
XO.LT06..HH.2018.05.14.09.20.39,P,main,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,3,True,True,0.769,0.915,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LT06..HH.2018.05.14.09.20.39,S,main,FUSE,AUTO_FUSE,3,True,True,0.769,0.915,FUSE_CONSENSUS_CLUSTER
XO.LT07..HH.2018.05.15.13.02.52,P,main,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,4,True,True,0.609,0.918,MODEL_CONSENSUS|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LD36..HH.2018.05.15.13.54.09,P,main,ABSTAIN,INSUFFICIENT_EVIDENCE_FOR_SELECTION,3,True,True,0.836,0.925,INSUFFICIENT_EVIDENCE_FOR_SELECTION
XO.LA25..HH.2018.05.15.13.54.12,P,holdout,FUSE,AUTO_FUSE,3,True,True,0.801,0.924,FUSE_CONSENSUS_CLUSTER
XO.LA25..HH.2018.05.15.13.54.12,S,holdout,ABSTAIN,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS,2,True,False,0.801,0.924,NO_DECISIVE_EVIDENCE_BETWEEN_MODELS
XO.LT07..HH.2018.05.15.10.17.37,S,holdout,FUSE,AUTO_FUSE,3,True,True,0.778,0.856,FUSE_CONSENSUS_CLUSTER
XO.LT14..HH.2018.05.15.19.26.15,P,main,FUSE,AUTO_FUSE,3,True,True,0.852,0.937,FUSE_CONSENSUS_CLUSTER
XO.LT14..HH.2018.05.15.19.26.15,S,main,FUSE,AUTO_FUSE,3,True,True,0.852,0.937,FUSE_CONSENSUS_CLUSTER
XO.LT07..HH.2018.05.16.12.54.57,P,main,FUSE,AUTO_FUSE,3,True,True,0.856,0.955,FUSE_CONSENSUS_CLUSTER
XO.LT07..HH.2018.05.16.12.54.57,S,main,FUSE,AUTO_FUSE,3,True,True,0.856,0.955,FUSE_CONSENSUS_CLUSTER
XO.LT07..HH.2018.05.18.22.11.25,P,main,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,3,True,True,0.678,0.894,MODEL_CONSENSUS|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LT07..HH.2018.05.18.22.11.25,S,main,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,3,True,True,0.678,0.894,MODEL_CONSENSUS|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
XO.LT17..HH.2018.05.19.02.03.22,P,main,ABSTAIN,CONSENSUS_WITHOUT_ADMISSIBLE_FUSION,3,True,False,0.697,0.849,MODEL_CONSENSUS|MODEL_OUTLIER_DETECTED|FUSION_CALIBRATED_CONFIDENCE_BELOW_FLOOR|FUSION_NOT_ALLOWED|CONSENSUS_WITHOUT_ADMISSIBLE_FUSION
